seed,l1_staff,l2_staff,arrivals,served,avg_wait_min,p95_wait_min,util_l1,fcr,reopen,voc_mean,sla_2min
12371,10,4,2246,2200,518.700215320542,3284.5708536569346,0.33479110611569873,0.7618181818181818,0.01681818181818182,3.4765583847171184,0.060909090909090906
12372,10,4,2353,2258,480.8962242979477,3162.195453068665,0.3569421995741575,0.7586359610274579,0.024357838795394153,3.455847507893691,0.048715677590788306
12373,10,4,2264,2159,546.6961472088589,3612.1230281399617,0.3316099092243079,0.7716535433070866,0.019916628068550254,3.4641425943417654,0.05141269106067624
12374,10,4,2301,2236,552.9160393986069,3825.9250011340782,0.34338462064835057,0.7504472271914132,0.01967799642218247,3.4575942576963774,0.04785330948121646
12345,10,6,2670,2603,480.06915564480585,2487.1149801273987,0.40343576439636475,0.701498271225509,0.024202842873607376,3.365400905326034,0.04878985785631963
12346,10,6,2662,2556,493.0459435843605,2660.2368703701086,0.3946117835126793,0.6834898278560251,0.024256651017214397,3.318080011414711,0.05046948356807512
12347,10,6,2562,2471,496.7510864152228,2553.745198540574,0.3893208787234826,0.7029542695265075,0.023472278429785512,3.351433860258066,0.05018211250505868
12348,10,6,2586,2478,512.2239110001009,2586.0845943875656,0.38480782932827745,0.6844229217110573,0.01775625504439064,3.3373379045184115,0.048426150121065374
12349,10,6,2567,2458,547.5185452116324,2797.583203282518,0.38942073810988054,0.677379983726607,0.026037428803905614,3.2896621638315238,0.046379170056956874
12350,10,6,2630,2550,471.7724357936265,2657.991598079204,0.3956569111003561,0.6909803921568628,0.022745098039215685,3.346010662117089,0.052941176470588235
12351,10,6,2418,2356,480.51792660782303,2722.1560845666763,0.37302683461404407,0.7139219015280136,0.022495755517826826,3.3907143064558203,0.056451612903225805
12352,10,6,2521,2425,535.3652129526849,3098.4717211376064,0.3792992018369906,0.6948453608247422,0.02515463917525773,3.347879413464366,0.04536082474226804
12353,10,6,2498,2420,486.7212386867651,3053.1192945072344,0.3739703414853186,0.718595041322314,0.01818181818181818,3.3899583320447944,0.047107438016528926
12354,10,6,2500,2436,494.37153087522967,2636.004274291807,0.3780942785725486,0.6982758620689655,0.02832512315270936,3.3513514697926765,0.048440065681444995
12355,10,6,2576,2475,550.2139970695347,2976.821735505951,0.38676240616587637,0.694949494949495,0.022222222222222223,3.3468313882563843,0.04727272727272727
12356,10,6,2509,2445,503.50851549957935,2647.945662972516,0.3787021235700302,0.678118609406953,0.027811860940695297,3.3097146350311646,0.06012269938650307
12357,10,6,2551,2466,530.7132633119301,2585.7690931822003,0.3849466594614383,0.6788321167883211,0.027169505271695052,3.310375572446593,0.048256285482562854
12358,10,6,2634,2544,448.49155266657647,2561.7128815851574,0.4125182507195215,0.6835691823899371,0.02437106918238994,3.3176882963681544,0.05070754716981132
